Dataset,Comparison,b11,b12,b21,b22,Acc_A,Acc_B,Diff,p_value,Cohens_h,Effect,Significant
advisorqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",46,3,19,32,0.49,0.65,-0.16000000000000003,0.0008554458618164062,-0.3246939875887884,medium,Yes
advisorqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",46,18,2,34,0.64,0.48,0.16000000000000003,0.0004024505615234375,0.3238047835623168,medium,Yes
amqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",47,3,9,41,0.5,0.56,-0.06000000000000005,0.14599609375,-0.120289882394788,small,No
amqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",75,7,0,18,0.82,0.75,0.06999999999999995,0.015625,0.170899490028257,small,Yes
bbq_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",51,14,24,11,0.65,0.75,-0.09999999999999998,0.14330665429588407,-0.2189061215829009,medium,No
bbq_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",55,32,3,10,0.87,0.58,0.29000000000000004,4.176981747150421e-07,0.6723797053897371,medium,Yes
gpqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",46,6,20,28,0.52,0.66,-0.14,0.009355306625366211,-0.28571881294064094,medium,Yes
gpqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",38,18,5,39,0.56,0.43,0.13000000000000006,0.010622024536132812,0.26075129710464395,medium,Yes
halueval_qa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",64,3,18,15,0.67,0.82,-0.1499999999999999,0.0014896392822265625,-0.3475813680993938,medium,Yes
halueval_qa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",33,14,3,50,0.47,0.36,0.10999999999999999,0.012725830078125,0.22375805076304944,medium,Yes
harp_mcq_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",66,5,16,13,0.71,0.82,-0.10999999999999999,0.02660369873046875,-0.26105294555667014,medium,Yes
harp_mcq_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",23,14,7,56,0.37,0.3,0.07,0.18924713134765625,0.14849464315901906,small,No
plausibleqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",48,0,20,32,0.48,0.68,-0.20000000000000007,1.9073486328125e-06,-0.4082785677906289,medium,Yes
plausibleqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",34,16,0,50,0.5,0.34,0.15999999999999998,3.0517578125e-05,0.32572948729463014,medium,Yes
socialiqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",33,1,25,41,0.34,0.58,-0.23999999999999994,8.046627044677734e-07,-0.48642014024654046,medium,Yes
socialiqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",80,16,1,3,0.96,0.81,0.1499999999999999,0.000274658203125,0.49933778201186296,medium,Yes
truthfulqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_True vs C2_Correct (both expect ""1"")",511,18,147,114,0.669620253164557,0.8329113924050633,-0.1632911392405063,2.3851293661281204e-26,-0.3824866335140016,medium,Yes
truthfulqa_sample_qwen-2.5-7b-instruct_Speaker1_vs_Speaker2_all,"C1_False vs C2_Incorrect (both expect ""2"")",405,176,3,206,0.7354430379746836,0.5164556962025316,0.21898734177215196,2.4953808334341238e-48,0.4573775727072358,medium,Yes
