dataset,gpt_4o_mini_dds,gpt_4o_mini_flip_rate,qwen_2.5_7b_instruct_dds,qwen_2.5_7b_instruct_flip_rate,gemma-3-12b-it_dds,gemma-3-12b-it_flip_rate,gpt_4o_dds,gpt_4o_flip_rate,mean_dds,std_dds,consistent
advisorqa,33.33,18.33,33.0,19.67,25.0,10.33,12.67,14.0,26.0,8.39,yes
aio,31.43,35.36,68.57,49.64,86.43,62.86,57.86,52.14,61.07,19.93,yes
amqa,-22.92,13.33,6.67,9.17,26.25,15.83,-9.58,5.0,0.1,18.37,no
bbq,-5.0,20.67,40.0,43.33,14.0,22.67,9.0,9.33,14.5,16.29,no
gpqa,-2.99,12.69,32.84,23.88,26.87,20.15,-52.99,34.33,0.93,33.96,no
halueval,11.33,20.0,23.67,19.33,16.67,17.33,9.33,11.67,15.25,5.55,yes
harp,-4.33,6.0,25.33,20.33,36.0,20.33,-46.67,26.33,2.58,32.05,no
plausibleqa,5.67,10.67,28.33,19.67,22.0,14.0,5.0,6.0,15.25,10.17,yes
socialiqa,26.33,10.33,39.67,15.33,14.0,12.33,1.33,9.67,20.33,14.24,yes
truthfulqa,16.84,13.29,39.75,25.95,26.71,16.58,3.42,5.7,21.68,13.31,yes
